Organisation,Country
Aberystwyth University,Wales
Aston University,England
Anglia Ruskin University,England
Bangor University,Wales
Bath Spa University,England
Birkbeck College,England
Birmingham City University,England
Bishop Grosseteste University College Lincoln,England
Bournemouth University,England
Brunel University,England
Buckinghamshire New University,England
Canterbury Christ Church University,England
Cardiff Metropolitan University,Wales
Cardiff University,Wales
Central School of Speech and Drama,England
Courtauld Institute of Art,England
Coventry University,England
Cranfield University,England
De Montfort University,England
Edge Hill University,England
Edinburgh Napier University,Scotland
Glasgow Caledonian University,Scotland
Glasgow School of Art,Scotland
Glyndwr University,Wales
Goldsmiths' College,England
Guildhall School of Music and Drama,England
Harper Adams University,England
Heriot-Watt University,Scotland
Heythrop College,England
Imperial College of Science, Technology and Medicine,England
Institute of Cancer Research: Royal Cancer Hospital,England
Institute of Education University of London,England
King's College London,England
Kingston University,England
Leeds College of Art,England
Leeds College of Music,England
Leeds Metropolitan University,England
Leeds Trinity University College,England
Liverpool Hope University,England
Liverpool John Moores University,England
London Business School,England
London Metropolitan University,England
London School of Economics & Political Science,England
London School of Hygiene and Tropical Medicine,England
London South Bank University,England
Loughborough University,England
Middlesex University,England
Newman University College,England
Northern School of Contemporary Dance,England
Norwich University College of the Arts,England
Nottingham Trent University,England
Open University,England
Oxford Brookes University,England
Prifysgol Aberystwyth,Wales
Queen Margaret University Edinburgh,Scotland
Queen Mary and Westfield College University of London,England
Ravensbourne Limited,England
Roehampton University,England
Rose Bruford College,England
Royal Academy of Music,England
Royal Agricultural College,England
Royal College of Art,England
Royal College of Music,England
Royal Conservatoire of Scotland,Scotland
Royal Holloway College and Bedford New College,England
Royal Northern College of Music,England
Royal Welsh College of Music and Drama Limited,Wales
School of Oriental and African Studies,England
School of Pharmacy University of London,England
Sheffield Hallam University,England
Southampton Solent University,England
Sruc,Scotland
St George's Hospital Medical School,England
St Mary's University College,Northern Ireland
St Mary's University College Twickenham,England
Staffordshire University,England
Stranmillis University College,Northern Ireland
Swansea Metropolitan University,Wales
Swansea University,Wales
Teesside University,England
The Arts University College at Bournemouth,England
The City University,England
The Conservatoire for Dance and Drama,England
The Liverpool Institute for Performing Arts,England
The Manchester Metropolitan University,England
The Queen's University of Belfast,Northern Ireland
The Robert Gordon University,Scotland
The Royal Veterinary College,England
The University of Bolton,England
The University of Buckingham,England
The University of Chichester,England
The University of Cumbria,England
The University of Manchester,England
The University of Northampton,England
The University of West London,England
The University of Westminster,England
Trinity Laban Conservatoire of Music and Dance Ltd,England
University Campus Suffolk Ltd,England
University College Birmingham,England
University College Falmouth,England
University College London,England
University for the Creative Arts,England
University of Aberdeen,Scotland
University of Abertay Dundee,Scotland
University of Bath,England
University of Bedfordshire,England
University of Birmingham,England
University of Bradford,England
University of Brighton,England
University of Bristol,England
University of Cambridge,England
University of Central Lancashire,England
University of Chester,England
University of Derby,England
University of Dundee,Scotland
University of Durham,England
University of East Anglia,England
University of East London,England
University of Edinburgh,Scotland
University of Essex,England
University of Exeter,England
University of Glamorgan,Wales
University of Glasgow,Scotland
University of Gloucestershire,England
University of Greenwich,England
University of Hertfordshire,England
University of Huddersfield,England
University of Hull,England
University of Keele,England
University of Kent,England
University of Lancaster,England
University of Leeds,England
University of Leicester,England
University of Lincoln,England
University of Liverpool,England
University of London,England
University of Newcastle Upon Tyne,England
University of Northumbria at Newcastle,England
University of Nottingham,England
University of Oxford,England
University of Plymouth,England
University of Portsmouth,England
University of Reading,England
University of Salford,England
University of Sheffield,England
University of Southampton,England
University of St Andrews,Scotland
University of St Mark & St John,England
University of Stirling,Scotland
University of Strathclyde,Scotland
University of Sunderland,England
University of Surrey,England
University of Sussex,England
University of Ulster,Northern Ireland
University of Wales,Wales
University of Wales: Trinity Saint David,Wales
University of Warwick,England
University of Winchester,England
University of Wolverhampton,England
University of Worcester,England
University of York,England
University of the Arts London,England
University of the Highlands and Islands,Scotland
University of the West of England Bristol,England
University of the West of Scotland,Scotland
Writtle College,England
York St John University,England
